model,mean_test_score,std_test_score,rank_test_score,params
GradientBoosting,0.9148648786378526,0.010144102071327606,57,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9148507199504795,0.010124627947196266,58,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9142428756015601,0.010204515100985847,59,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9138010408991771,0.019480447036150855,60,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9130147324526525,0.01811410977561997,61,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9128024511762659,0.018113358214038353,62,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9125329441003871,0.017469677980213736,63,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9117087324864818,0.01936818609434784,64,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9116678797144422,0.021626166777962696,65,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9116526075431984,0.02230113043512122,66,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9115936860418012,0.01751757767857451,67,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.911541981842874,0.019537674259515306,68,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9112354820115774,0.018800602067833235,69,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9107794209932356,0.016805060164204542,70,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
