model,mean_test_score,std_test_score,rank_test_score,params
GradientBoosting,0.998993304925682,0.00023740943110847995,78,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9989910186446535,0.0002031288781489386,79,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9989906902387858,0.00020309973369362445,80,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9989906694785489,0.00020311184683875219,81,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9989812683452705,0.00016028762086798865,82,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.998968070181516,0.00019772293307634397,83,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9989578410688964,0.00019837195245082768,84,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9989537004451072,0.00013442025430464608,85,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.998946581284252,0.0002152961436797661,86,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9989435975133297,0.0002132000035198171,87,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9989312522223013,0.0001319033659886895,88,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9989118195135769,0.0003186805355647163,89,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.998904079346428,0.000304225621842598,90,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9988106953379967,0.00036867339414801964,91,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9987951783725485,0.0003783892336393941,92,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.998756332763356,0.00041786662007602137,93,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9987533426094922,0.0004039955970078462,94,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9987324719047646,0.00043302400507611255,95,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9987295850549897,0.0004095731518279235,96,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
RandomForest,0.9981069105475248,0.000701326502092486,1,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.9981069105475248,0.000701326502092486,1,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.9981069105475248,0.000701326502092486,1,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.9980666117453696,0.000703131231679071,4,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.9980666117453696,0.000703131231679071,4,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.9980666117453696,0.000703131231679071,4,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.9980643104796675,0.0007419998828179477,7,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.9980643104796675,0.0007419998828179477,7,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.9980628859222467,0.0007424694201563486,9,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.9980600366316198,0.0007051267278429581,10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.9980600366316198,0.0007051267278429581,10,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.9980600366316198,0.0007051267278429581,10,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.9980505038533731,0.0007412879562770266,13,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.9980505038533731,0.0007412879562770266,13,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.9980505038533731,0.0007412879562770266,13,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.9980334517473903,0.0006987393615414683,16,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.9980334517473903,0.0006987393615414683,16,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
